CoCode,Company Names,[Year & Month](All),[Month](All),[Year](All),[High](All),[Low](All),[Close](All),[High PE](All),[Low PE](All),[Close PE](All),[Market Cap](All),[Volume](All),[No of Trades](All),[Net Turnover-Rs Thousands](All)
31,Ashok Leyland,199411,11,1994,10.15,6.5,10.13,45.9,28.96,45.11,1580.72,200,0,40.45
31,Ashok Leyland,199412,12,1994,9.95,9.25,9.5,44.33,41.21,42.33,1483.14,5350,0,1015.425
31,Ashok Leyland,199501,1,1995,9.45,8.75,9.05,42.1,38.99,40.32,1412.89,53100,0,9674.05
31,Ashok Leyland,199502,2,1995,9.5,7.5,7.65,43.47,33.42,34.08,1194.32,25000,0,4278.1025
31,Ashok Leyland,199503,3,1995,8.25,7.15,7.77,19.74,25.89,28.32,1847.58,11800,0,1859.3225
31,Ashok Leyland,199504,4,1995,8.05,7.15,7.2,29.35,25.89,26.25,1712.59,18250,0,2827.985
31,Ashok Leyland,199505,5,1995,7.5,6.5,6.75,27.34,23.52,24.61,1605.56,11300,0,1555.51
31,Ashok Leyland,199506,6,1995,7,6.4,6.55,26.08,22.63,23.88,1557.98,35700,0,4808.1025
31,Ashok Leyland,199507,7,1995,7.75,5.85,6.85,30.84,21.33,24.97,1629.34,48600,0,6583.775
31,Ashok Leyland,199508,8,1995,7.05,6.4,6.55,26.26,23.33,23.88,1557.98,33900,0,4629.7975
31,Ashok Leyland,199509,9,1995,7.4,6.25,6.7,27.69,22.79,24.43,1593.66,29700,0,3930.86
31,Ashok Leyland,199510,10,1995,7.49,6.6,6.65,27.52,23.88,24.25,1581.77,22000,0,3099.99
31,Ashok Leyland,199511,11,1995,6.85,5.25,5.5,25.34,18.27,20.05,1308.23,47550,0,5386.215
31,Ashok Leyland,199512,12,1995,5.68,5.25,5.47,21.39,18.96,19.92,1299.9,55350,0,6049.5225
31,Ashok Leyland,199601,1,1996,5.54,4.9,5.28,20.93,17.22,19.23,1254.71,45450,0,4718.435
31,Ashok Leyland,199602,2,1996,7.38,5.25,6.18,27.8,18.92,22.51,1468.79,119150,0,15082.305
31,Ashok Leyland,199603,3,1996,6.75,6,6.23,15.04,12.21,13.25,1480.68,60100,0,7516.0775
31,Ashok Leyland,199604,4,1996,7.1,6.09,6.63,15.7,12.7,14.1,1576.42,103750,0,13578.77
31,Ashok Leyland,199605,5,1996,7.33,5.87,6.25,15.83,11.95,13.31,1487.22,119700,0,16497.74
31,Ashok Leyland,199606,6,1996,7.4,6.15,6.77,16.45,12.88,14.41,1610.31,299850,0,40896.0925
31,Ashok Leyland,199607,7,1996,7,6.1,6.23,15.15,12.72,13.25,1481.27,308050,0,40631.565
31,Ashok Leyland,199608,8,1996,6.56,5.6,6.24,14.37,11.71,13.27,1483.65,143100,0,17430.455
31,Ashok Leyland,199609,9,1996,6.58,5.4,5.41,14.27,11.48,11.5,1285.63,138500,0,16917.965
31,Ashok Leyland,199610,10,1996,5.75,4.86,5.29,12.65,10.09,11.26,1258.87,115650,0,12257.3975
31,Ashok Leyland,199611,11,1996,5.5,4.3,4.35,12.15,9.05,9.25,1034.1,73700,0,7186.94
31,Ashok Leyland,199612,12,1996,5.4,3.9,5.06,11.88,8.02,10.77,1203.57,114500,0,10533.185
31,Ashok Leyland,199701,1,1997,5.87,4.63,4.9,13.62,9.84,10.43,1166.11,196250,95,20616.9375
31,Ashok Leyland,199702,2,1997,5.1,4.65,4.89,11.16,9.76,10.41,1163.73,223250,720,22043.6175
31,Ashok Leyland,199703,3,1997,5.56,4.05,4.27,11.12,7.34,8.14,1015.07,294950,1543,27372.185
31,Ashok Leyland,199704,4,1997,4.55,4,4.19,8.77,7.47,7.99,996.04,357200,830,31763.1275
31,Ashok Leyland,199705,5,1997,4.2,3.6,3.65,8.03,6.62,6.96,868.19,103150,766,8031.35
31,Ashok Leyland,199706,6,1997,3.8,3.35,3.46,7.57,6.19,6.59,822.4,339650,1555,24021.6825
31,Ashok Leyland,199707,7,1997,4.6,3.36,4.3,8.91,6.35,8.21,1023.39,952450,4514,76254.8275
31,Ashok Leyland,199708,8,1997,4.5,3.71,3.74,8.73,7,7.14,890.19,362350,919,9611.1775
31,Ashok Leyland,199709,9,1997,3.8,3.26,3.28,7.47,6.18,6.26,780.18,413300,1670,14787.2325
31,Ashok Leyland,199710,10,1997,3.57,3.13,3.24,7.03,5.83,6.18,771.26,136450,985,8805.9525
31,Ashok Leyland,199711,11,1997,3.25,2.03,2.03,6.2,3.87,3.87,482.86,246200,1557,11125.185
31,Ashok Leyland,199712,12,1997,2.17,1.8,1.99,4.3,3.21,3.8,473.94,424850,2610,16050.5075
31,Ashok Leyland,199801,1,1998,2.34,1.6,1.78,4.56,2.97,3.39,422.2,835350,5435,33182.305
31,Ashok Leyland,199802,2,1998,1.8,1.57,1.75,3.69,2.95,3.33,415.07,517600,1145,17193.5
31,Ashok Leyland,199803,3,1998,2.35,1.63,2.03,98.82,59.77,76.09,481.67,3012800,13916,119652.295
31,Ashok Leyland,199804,4,1998,3.1,2.07,2.62,127.08,73.76,98.45,623.19,3195350,13753,168272.8075
31,Ashok Leyland,199805,5,1998,2.95,2.36,2.58,113.84,82.17,96.76,612.49,1130700,4795,60090.6575
31,Ashok Leyland,199806,6,1998,2.63,1.7,2.2,105.15,57.46,82.48,522.1,683500,3675,28558.055
31,Ashok Leyland,199807,7,1998,2.15,1.28,1.36,87.84,43.13,51.01,322.89,1201900,4999,40350.8725
31,Ashok Leyland,199808,8,1998,1.55,1.28,1.4,59.9,45.16,52.61,333,872500,4189,24413.1175
31,Ashok Leyland,199809,9,1998,1.5,1.24,1.26,59.98,46.13,47.25,299.11,1052300,4734,29092.7175
31,Ashok Leyland,199810,10,1998,1.3,1,1.18,50.5,37.48,44.43,281.27,756400,3346,17559.94
31,Ashok Leyland,199811,11,1998,1.97,1.18,1.61,75.95,43.69,60.31,381.77,5985550,22366,203270.7475
31,Ashok Leyland,199812,12,1998,2.39,1.54,2.19,98.03,57.12,82.1,519.72,7614200,25032,285109.235
31,Ashok Leyland,199901,1,1999,2.45,2.01,2.05,98.83,74.05,76.84,486.42,5918600,20938,262764.5725
31,Ashok Leyland,199902,2,1999,2.53,1.73,2.18,103.94,64.91,81.73,517.35,4892700,16991,213766.335
31,Ashok Leyland,199903,3,1999,2.29,1.85,2.13,87.61,63.53,75.53,506.05,4504900,12042,186754.575
31,Ashok Leyland,199904,4,1999,2.3,1.38,1.57,81.56,46.94,55.74,373.44,2001700,6669,76546.5
31,Ashok Leyland,199905,5,1999,3.24,1.48,3.24,115.02,51.08,115.02,770.67,5488550,14276,277517.6425
31,Ashok Leyland,199906,6,1999,4.25,2.97,3.96,154.8,100.03,140.5,941.33,4200500,18015,300089.52
31,Ashok Leyland,199907,7,1999,6.16,3.93,5.62,229.4,138.37,199.43,1336.18,10604850,36693,1104783.608
31,Ashok Leyland,199908,8,1999,8.05,5,6.75,301.22,157.43,239.72,1606.15,19350700,71269,2701412.988
31,Ashok Leyland,199909,9,1999,7.32,5.01,6.16,269.54,168.6,218.69,1465.22,4635050,21724,580714.17
31,Ashok Leyland,199910,10,1999,7.1,5.43,5.52,266.53,189.54,196.06,1313.58,4049050,18208,501800.1
31,Ashok Leyland,199911,11,1999,5.78,4.88,5.23,211.98,160.96,185.5,1242.82,2965897,12528,318909.045
31,Ashok Leyland,199912,12,1999,6.89,5.15,5.65,257.6,182.13,200.49,1343.31,2033560,9853,237165.3496
31,Ashok Leyland,200001,1,2000,7.5,5.7,6.05,290.04,190.81,214.61,1437.86,2096607,9784,281587.5389
31,Ashok Leyland,200002,2,2000,6.3,3.65,4.14,242.31,113.35,146.89,984.15,4011133,14407,381933.2696
31,Ashok Leyland,200003,3,2000,4.3,2.8,3.45,14.09,8.07,10.6,821.21,2620619,12325,177831.9751
31,Ashok Leyland,200004,4,2000,3.85,3.18,3.57,12.59,9.26,10.95,847.97,1831808,9823,129544.3498
31,Ashok Leyland,200005,5,2000,3.65,2.93,3.45,11.84,8.89,10.59,820.02,1418815,8407,93149.3882
31,Ashok Leyland,200006,6,2000,3.92,3,3,12.97,9.21,9.22,714.17,1524465,8756,103963.3513
31,Ashok Leyland,200007,7,2000,3.34,2.32,2.35,10.5,7.05,7.2,557.78,3414539,16925,201835.9509
31,Ashok Leyland,200008,8,2000,2.44,2.16,2.3,7.72,6.57,7.06,547.08,916543,6062,42201.2114
31,Ashok Leyland,200009,9,2000,2.34,1.83,1.89,7.53,5.43,5.79,448.37,819221,4960,35450.4731
31,Ashok Leyland,200010,10,2000,2.48,1.7,2.27,7.84,5.07,6.96,538.75,1951553,8614,81471.5696
31,Ashok Leyland,200011,11,2000,2.58,2.14,2.42,8.33,6.49,7.43,575.62,2986269,10539,138795.8846
31,Ashok Leyland,200012,12,2000,2.63,2.09,2.19,8.33,6.25,6.73,521.51,5255489,16501,254048.5237
31,Ashok Leyland,200101,1,2001,2.54,2.15,2.32,7.92,6.6,7.11,550.65,4758169,14316,221717.6356
31,Ashok Leyland,200102,2,2001,3.8,2.26,3.42,12.97,6.65,10.5,813.48,14028282,51527,886735.2623
31,Ashok Leyland,200103,3,2001,3.55,2.18,2.37,9.69,5.54,6.21,563.73,4818435,22851,269413.9001
31,Ashok Leyland,200104,4,2001,3.23,2.04,2.81,8.99,5.16,7.37,668.39,3129365,19386,168019.2453
31,Ashok Leyland,200105,5,2001,3.62,2.85,3.41,9.72,7.05,8.94,811.7,4131938,25783,273838.151
31,Ashok Leyland,200106,6,2001,3.45,2.66,2.82,9.44,6.7,7.38,669.58,1239179,9969,78600.6576
31,Ashok Leyland,200107,7,2001,3.23,2.51,2.99,9.13,6.15,7.82,710.01,203491,1566,11325.8715
31,Ashok Leyland,200108,8,2001,3.38,2.88,3.21,8.97,7.35,8.41,763.53,484278,3248,30129.5502
31,Ashok Leyland,200109,9,2001,3.33,2.6,2.93,8.82,6.74,7.67,696.34,410017,2634,24562.5374
31,Ashok Leyland,200110,10,2001,3.2,2.61,3.16,8.51,6.69,8.27,750.45,912970,5680,53995.633
31,Ashok Leyland,200111,11,2001,4.75,3.15,4.32,13.75,8.24,11.33,1028.15,2195511,14452,169961.657
31,Ashok Leyland,200112,12,2001,4.42,3.28,3.53,12.29,8.29,9.25,839.65,1504700,8868,120915.4301
31,Ashok Leyland,200201,1,2002,3.96,3.21,3.46,10.72,8.32,9.06,822.4,2897630,20314,210606.7031
31,Ashok Leyland,200202,2,2002,4.78,3.35,4.45,12.72,8.7,11.66,1057.88,7778329,43230,630581.8259
31,Ashok Leyland,200203,3,2002,4.7,3.85,4.02,12.45,9.63,10.25,955.6,1727308,9977,151392.5927
31,Ashok Leyland,200204,4,2002,5.7,3.88,4.88,15.54,9.61,12.44,1159.57,4632229,31835,458105.0112
31,Ashok Leyland,200205,5,2002,5.85,4.46,4.9,15.5,10.89,12.49,1164.32,5746297,42454,607482.754
31,Ashok Leyland,200206,6,2002,6.15,4.83,6.03,16,12.24,15.4,1434.89,5706933,40489,644082.9803
31,Ashok Leyland,200207,7,2002,6.15,4.3,4.48,16.18,10.55,11.42,1064.42,3815667,29456,414310.4409
31,Ashok Leyland,200208,8,2002,5.25,4.55,5,14.06,11.08,12.77,1189.89,1849087,17423,183294.8695
31,Ashok Leyland,200209,9,2002,5.12,4.25,4.34,13.35,10.62,11.08,1032.91,616037,5832,58493.9976
31,Ashok Leyland,200210,10,2002,4.85,4.22,4.67,12.86,10.67,11.91,1110.21,900849,6381,79700.156
31,Ashok Leyland,200211,11,2002,4.8,4.01,4.53,12.48,10.09,11.56,1077.51,2303781,16010,200320.0535
31,Ashok Leyland,200212,12,2002,5.03,4.46,4.93,13.47,11.14,12.58,1172.65,1472184,13424,140786.3444
31,Ashok Leyland,200301,1,2003,5.37,4.58,4.75,14.26,11.54,12.11,1128.65,1939753,18164,194333.6133
31,Ashok Leyland,200302,2,2003,5.48,4.62,4.85,14.06,11.24,12.37,1152.43,1408389,13315,145834.7507
31,Ashok Leyland,200303,3,2003,5.17,4.64,4.83,10.05,8.71,9.28,1148.27,1054429,7329,104275.1111
31,Ashok Leyland,200304,4,2003,5.25,4.81,4.96,10.66,9.19,9.53,1179.19,1016510,5589,102678.7996
31,Ashok Leyland,200305,5,2003,5.85,4.87,5.74,11.47,8.9,11.02,1364.13,4918455,25095,528705.0225
31,Ashok Leyland,200306,6,2003,6.75,5.71,6.42,13.43,10.82,12.33,1525.87,5154373,29463,640287.551
31,Ashok Leyland,200307,7,2003,7.13,5.63,6.71,14.58,10.53,12.89,1595.45,7257525,44850,940279.3418
31,Ashok Leyland,200308,8,2003,8.56,6.55,8.11,17.87,11.81,15.58,1929.04,6984669,40958,1069678.624
31,Ashok Leyland,200309,9,2003,9.5,7.78,9.47,18.32,14.6,18.19,2251.94,5757821,40004,982394.1543
31,Ashok Leyland,200310,10,2003,11.9,9.48,11.37,24.87,17.33,21.84,2703.87,11329366,101694,2476952.79
31,Ashok Leyland,200311,11,2003,12.33,10.56,12.06,24.28,19.51,23.17,2868,9192073,72130,2137609.618
31,Ashok Leyland,200312,12,2003,14.87,12,14.72,28.89,20.72,28.28,3500.11,6247461,60667,1649801.842
31,Ashok Leyland,200401,1,2004,15.59,11.3,11.49,31.26,21.36,22.08,2733.01,8677024,78940,2418265.657
31,Ashok Leyland,200402,2,2004,13.9,10.55,13.13,28.14,19.25,25.23,3123.1,10441678,106448,2664059.152
31,Ashok Leyland,200403,3,2004,13.37,10.1,12.66,16.49,11.19,15.31,3010.12,5121717,54020,1233313.809
31,Ashok Leyland,200404,4,2004,14.86,12.52,13.33,19.43,14.3,16.13,3171.27,4714199,46844,1281443.328
31,Ashok Leyland,200405,5,2004,13.45,8.9,10.67,17.07,9.07,12.9,2536.78,3896615,44646,927793.7804
31,Ashok Leyland,200406,6,2004,11.5,10.05,11.38,138.16,13.1,13.76,2705.66,5760097,50129,767789.3216
31,Ashok Leyland,200407,7,2004,12.05,9.65,10.43,14.89,11.27,12.61,2479.69,26566974,64401,568465.4311
31,Ashok Leyland,200408,8,2004,11.23,8.5,9.38,14.21,10.22,11.34,2229.94,104922421,203263,2034913.331
31,Ashok Leyland,200409,9,2004,9.88,8.95,9.38,12.23,10.09,11.34,2229.94,73552487,104257,1390686.125
31,Ashok Leyland,200410,10,2004,10.5,9.03,9.33,12.98,10.62,11.28,2218.04,75907371,113822,1477725.753
31,Ashok Leyland,200411,11,2004,10.63,8.95,10.25,13.2,10.62,12.4,2438.07,69897252,99014,1367143.154
31,Ashok Leyland,200412,12,2004,12.7,9.88,12.33,16.06,11.43,14.91,2931.62,116078279,164317,2597053.103
31,Ashok Leyland,200501,1,2005,12.63,10.08,12.08,15.68,12.07,14.61,2872.16,67238028,138740,1530714.457
31,Ashok Leyland,200502,2,2005,12.98,11.53,11.88,16.23,13.56,14.37,2824.59,90976255,177120,2230960.425
31,Ashok Leyland,200503,3,2005,12.58,9.33,10.53,12.24,8.45,10,2503.48,56258065,121552,1276641.287
31,Ashok Leyland,200504,4,2005,12,10.2,11.55,11.84,9.39,10.97,2747.28,40113506,95544,886035.533
