CoCode,Company Names,[Shareholding date](All),[Foreign (Promoter & Group)](All),[Indian (Promoter & Group)](All),[Total of Promoter](All),[Non Promoter (Institution)](All),[Non Promoter (Non-Institution)](All),[Total Non Promoter](All),[Total Promoter & Non Promoter](All),[Custodians(Against Depository Receipts)](All),[Grand Total](All),[Year & Month](All)
31,Ashok Leyland,4/7/2014,38.8157,0,38.8157,34.2097,14.5972,48.8069,87.6226,12.3774,100,201407
31,Ashok Leyland,13/06/2017,51.2944,0,51.2944,30.9744,17.7312,48.7056,100,0,100,201706
31,Ashok Leyland,30/06/2001,50.94,0,50.94,31.54,12.61,44.15,95.09,4.92,100,200106
31,Ashok Leyland,30/06/2002,50.94,0,50.94,31.63,12.54,44.17,95.11,4.91,100,200206
31,Ashok Leyland,30/06/2003,50.94,0,50.94,32.19,12.19,44.38,95.32,4.69,100,200306
31,Ashok Leyland,30/06/2004,50.94,0,50.94,36.37,11.13,47.5,98.44,1.56,100,200406
31,Ashok Leyland,30/06/2005,50.94,0,50.94,30.8,16.7,47.5,98.44,1.56,100,200506
31,Ashok Leyland,30/06/2006,39.21,0,39.21,31.27,15.83,47.1,86.31,13.69,100,200606
31,Ashok Leyland,30/06/2007,38.8,0,38.8,32.03,15.67,47.7,86.5,13.5,100,200706
31,Ashok Leyland,30/06/2008,38.61,0,38.61,29.98,17.98,47.96,86.57,13.43,100,200806
31,Ashok Leyland,30/06/2009,38.61,0,38.61,29.9,18.06,47.96,86.57,13.43,100,200906
31,Ashok Leyland,30/06/2010,38.61,0,38.61,33.05,14.91,47.96,86.57,13.43,100,201006
31,Ashok Leyland,30/06/2011,38.6081,0,38.6081,30.111,17.8475,47.9585,86.5666,13.4334,100,201106
31,Ashok Leyland,30/06/2012,38.6081,0,38.6081,29.8945,18.0663,47.9608,86.5689,13.4311,100,201206
31,Ashok Leyland,30/06/2013,38.6081,0,38.6081,29.8765,18.0866,47.9631,86.5712,13.4288,100,201306
31,Ashok Leyland,30/06/2014,41.5175,0,41.5175,29.6302,15.6133,45.2435,86.761,13.2389,100,201406
31,Ashok Leyland,30/06/2015,38.8157,0,38.8157,32.5649,16.242,48.8069,87.6226,12.3774,100,201506
31,Ashok Leyland,30/06/2016,50.3833,0,50.3833,20.186,29.4307,49.6167,100,0,100,201606
31,Ashok Leyland,30/06/2017,51.2944,0,51.2944,31.7226,16.983,48.7056,100,0,100,201706
31,Ashok Leyland,30/06/2018,51.1276,0,51.1276,33.7393,15.1331,48.8724,100,0,100,201806
31,Ashok Leyland,30/09/2001,50.94,0,50.94,31.97,12.18,44.15,95.09,4.92,100,200109
31,Ashok Leyland,30/09/2002,50.94,0,50.94,32.01,12.2,44.21,95.15,4.86,100,200209
31,Ashok Leyland,30/09/2003,50.94,0,50.94,34.31,12.03,46.34,97.28,2.73,100,200309
31,Ashok Leyland,30/09/2004,50.94,0,50.94,30.85,16.66,47.51,98.45,1.56,100,200409
31,Ashok Leyland,30/09/2005,50.94,0,50.94,31.26,16.46,47.72,98.66,1.35,100,200509
31,Ashok Leyland,30/09/2006,39.21,0,39.21,31.32,15.78,47.1,86.31,13.69,100,200609
31,Ashok Leyland,30/09/2007,38.61,0,38.61,32.29,15.67,47.96,86.57,13.43,100,200709
31,Ashok Leyland,30/09/2008,38.61,0,38.61,30.2,17.76,47.96,86.57,13.43,100,200809
31,Ashok Leyland,30/09/2009,38.61,0,38.61,31.88,16.08,47.96,86.57,13.43,100,200909
31,Ashok Leyland,30/09/2010,38.61,0,38.61,32.83,15.13,47.96,86.57,13.43,100,201009
31,Ashok Leyland,30/09/2011,38.6081,0,38.6081,31.578,16.3805,47.9585,86.5666,13.4334,100,201109
31,Ashok Leyland,30/09/2012,38.6081,0,38.6081,29.1051,18.8579,47.963,86.5711,13.4288,100,201209
31,Ashok Leyland,30/09/2013,38.6081,0,38.6081,28.3826,19.7676,48.1502,86.7583,13.2417,100,201309
31,Ashok Leyland,30/09/2014,38.8157,0,38.8157,34.7048,14.1021,48.8069,87.6226,12.3774,100,201409
31,Ashok Leyland,30/09/2015,38.8157,0,38.8157,31.6928,17.1141,48.8069,87.6226,12.3774,100,201509
31,Ashok Leyland,30/09/2016,50.3833,0,50.3833,18.7004,30.9163,49.6167,100,0,100,201609
31,Ashok Leyland,30/09/2017,51.2944,0,51.2944,33.9376,14.7681,48.7057,100.0001,0,100,201709
31,Ashok Leyland,30/09/2018,45.347,0,45.347,36.4287,18.2243,54.653,100,0,100,201809
31,Ashok Leyland,31/03/2001,50.94,0,50.94,29.66,14.43,44.09,95.03,4.97,100,200103
31,Ashok Leyland,31/03/2002,50.94,0,50.94,32.33,11.82,44.15,95.09,4.92,100,200203
31,Ashok Leyland,31/03/2003,50.94,0,50.94,34.47,9.94,44.41,95.35,4.65,100,200303
31,Ashok Leyland,31/03/2004,50.94,0,50.94,35.63,11.87,47.5,98.44,1.56,100,200403
31,Ashok Leyland,31/03/2005,50.94,0,50.94,29.54,17.96,47.5,98.44,1.56,100,200503
31,Ashok Leyland,31/03/2006,49.59,0,49.59,33.92,15.26,49.18,98.77,1.23,100,200603
31,Ashok Leyland,31/03/2007,38.8,0,38.8,31.34,16.37,47.71,86.51,13.5,100,200703
31,Ashok Leyland,31/03/2008,38.61,0,38.61,29.28,18.68,47.96,86.57,13.43,100,200803
31,Ashok Leyland,31/03/2009,38.61,0,38.61,28.85,19.11,47.96,86.57,13.43,100,200903
31,Ashok Leyland,31/03/2010,38.61,0,38.61,32.57,15.38,47.95,86.56,13.43,100,201003
31,Ashok Leyland,31/03/2011,38.6081,0,38.6081,30.0731,17.8854,47.9585,86.5666,13.4334,100,201103
31,Ashok Leyland,31/03/2012,38.6081,0,38.6081,30.9479,17.0106,47.9585,86.5666,13.4333,100,201203
31,Ashok Leyland,31/03/2013,38.6081,0,38.6081,30.0175,17.9456,47.9631,86.5712,13.4288,100,201303
31,Ashok Leyland,31/03/2014,41.5175,0,41.5175,26.0165,19.227,45.2435,86.761,13.2389,100,201403
31,Ashok Leyland,31/03/2015,38.8157,0,38.8157,32.4411,16.3658,48.8069,87.6226,12.3774,100,201503
31,Ashok Leyland,31/03/2016,50.3833,0,50.3833,16.3204,33.2963,49.6167,100,0,100,201603
31,Ashok Leyland,31/03/2017,50.3833,0,50.3833,27.7535,21.8632,49.6167,100,0,100,201703
31,Ashok Leyland,31/03/2018,51.2677,0,51.2677,34.41,14.3223,48.7323,100,0,100,201803
31,Ashok Leyland,31/12/2000,50.94,0,50.94,31.89,12.32,44.21,95.15,4.86,100,200012
31,Ashok Leyland,31/12/2001,50.94,0,50.94,31.76,12.39,44.15,95.09,4.92,100,200112
31,Ashok Leyland,31/12/2002,50.94,0,50.94,31.89,12.32,44.21,95.15,4.86,100,200212
31,Ashok Leyland,31/12/2003,50.94,0,50.94,35.74,11.57,47.31,98.25,1.76,100,200312
31,Ashok Leyland,31/12/2004,50.94,0,50.94,30.21,17.3,47.51,98.45,1.56,100,200412
31,Ashok Leyland,31/12/2005,50.94,0,50.94,30.35,17.45,47.8,98.74,1.26,100,200512
31,Ashok Leyland,31/12/2006,38.81,0,38.81,31.13,16.55,47.68,86.49,13.51,100,200612
31,Ashok Leyland,31/12/2007,38.61,0,38.61,30.29,17.66,47.95,86.56,13.43,100,200712
31,Ashok Leyland,31/12/2008,38.61,0,38.61,27.63,20.32,47.95,86.56,13.43,100,200812
31,Ashok Leyland,31/12/2009,38.61,0,38.61,32.12,15.84,47.96,86.57,13.43,100,200912
31,Ashok Leyland,31/12/2010,38.6081,0,38.6081,31.335,16.6235,47.9585,86.5666,13.4334,100,201012
31,Ashok Leyland,31/12/2011,38.6081,0,38.6081,31.4108,16.5477,47.9585,86.5666,13.4333,100,201112
31,Ashok Leyland,31/12/2012,38.6081,0,38.6081,30.6045,17.3586,47.9631,86.5712,13.4288,100,201212
31,Ashok Leyland,31/12/2013,40.8927,0,40.8927,25.5269,20.3414,45.8683,86.761,13.2389,100,201312
31,Ashok Leyland,31/12/2014,38.8157,0,38.8157,32.833,15.9739,48.8069,87.6226,12.3774,100,201412
31,Ashok Leyland,31/12/2015,50.3833,0,50.3833,14.9313,34.6854,49.6167,100,0,100,201512
31,Ashok Leyland,31/12/2016,50.3833,0,50.3833,20.8257,28.791,49.6167,100,0,100,201612
