CoCode,Company Names,[Year & Month](All),[Shareholding Date](All),[Total Foreign](All),[Total Institutions](All),[Total Govt Holding](All),[Total Non Promoter Corporate Holding](All),[Total Promoters](All),[Total Public & Others](All),[Totals](All)
31,Ashok Leyland,199609,03/09/1996,65.54,23,0.09,1.86,0.01,9.5,100
31,Ashok Leyland,199601,05/01/1996,65.06,24.36,0.09,0.9,0,9.58,100
31,Ashok Leyland,199809,04/09/1998,62.53,25.75,0.09,1.01,0,10.62,100
31,Ashok Leyland,201407,04/07/2014,34.23,12.79,0.08,4.13,38.82,9.96,100
31,Ashok Leyland,201706,13/06/2017,25.56,9.15,0.08,2.46,51.29,11.46,100
31,Ashok Leyland,199909,16/09/1999,60.75,28.81,0.09,1.28,0,9.07,100
31,Ashok Leyland,199708,26/08/1997,65.06,23.46,0.09,1.76,0,9.62,100
31,Ashok Leyland,200005,30/05/2000,54.19,22.09,0.09,0.24,0,23.39,100
31,Ashok Leyland,200106,30/06/2001,9.75,26.77,0,1.35,50.94,11.2,100
31,Ashok Leyland,200206,30/06/2002,11.92,24.68,0,1.91,50.94,10.55,100
31,Ashok Leyland,200306,30/06/2003,12.29,24.66,0,1.63,50.94,10.48,100
31,Ashok Leyland,200406,30/06/2004,11.08,26.99,0,1.59,50.94,9.41,100
31,Ashok Leyland,200506,30/06/2005,8.57,24.13,0,2.8,50.94,13.56,100
31,Ashok Leyland,200606,30/06/2006,24.94,19.93,0.09,2.58,39.21,13.26,100
31,Ashok Leyland,200706,30/06/2007,29.47,17.81,0.08,1.94,38.8,11.9,100
31,Ashok Leyland,200806,30/06/2008,27.05,18.01,0.08,2.44,38.61,13.81,100
31,Ashok Leyland,200906,30/06/2009,25.34,19.6,0.08,2.64,38.61,13.74,100
31,Ashok Leyland,201006,30/06/2010,27.91,19.34,0.08,4.51,38.61,9.55,100
31,Ashok Leyland,201106,30/06/2011,27.93,16.5,0.08,5.85,38.61,11.03,100
31,Ashok Leyland,201206,30/06/2012,30.14,14.05,0.08,6.83,38.61,10.28,100
31,Ashok Leyland,201306,30/06/2013,31.54,12.72,0.08,6.42,38.61,10.63,100
31,Ashok Leyland,201406,30/06/2014,30.77,12.57,0.08,4.41,41.52,10.65,100
31,Ashok Leyland,201506,30/06/2015,32.92,12.28,0.08,4.32,38.82,11.59,100
31,Ashok Leyland,201606,30/06/2016,26.64,9.5,0.08,3.11,50.38,10.3,100
31,Ashok Leyland,201706,30/06/2017,25.95,9.45,0.08,2.2,51.29,11.04,100
31,Ashok Leyland,201806,30/06/2018,25.79,10.13,0.08,2.2,51.13,10.68,100
31,Ashok Leyland,200109,30/09/2001,9.85,27.1,0,1.26,50.94,10.85,100
31,Ashok Leyland,200209,30/09/2002,12.95,23.99,0,1.84,50.94,10.29,100
31,Ashok Leyland,200309,30/09/2003,10.64,26.52,0,1.85,50.94,10.06,100
31,Ashok Leyland,200409,30/09/2004,8.27,24.36,0,3.09,50.94,13.35,100
31,Ashok Leyland,200509,30/09/2005,9.73,23.18,0,2.84,50.94,13.33,100
31,Ashok Leyland,200609,30/09/2006,25.37,19.55,0.09,2.65,39.21,13.13,100
31,Ashok Leyland,200709,30/09/2007,30.28,17.25,0.08,2.08,38.61,11.71,100
